transaction_date,post_date,description,category,amount,month,day_of_month,day_of_week,is_weekend,transaction_month,description_length,has_numbers,word_count
2020-11-10,2020-11-12,PIZZA PIZZA # 450,WINNIPEG MB Restaurants,22.39,Nov_2020,10,1,0,11,17,1,4
2020-11-10,2020-11-13,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,4.57,Nov_2020,10,1,0,11,20,1,1
2020-10-13,2020-10-14,PAYMENT,Payment,-62.37,Nov_2020,13,1,0,10,7,0,1
2020-10-14,2020-10-15,PAYMENT,Payment,-24.43,Nov_2020,14,2,0,10,7,0,1
2020-10-19,2020-10-20,PAYMENT,Payment,-50.0,Nov_2020,19,0,0,10,7,0,1
2020-10-25,2020-10-27,PAYMENT,Payment,-100.0,Nov_2020,25,6,1,10,7,0,1
2020-10-30,2020-11-02,PAYMENT,Payment,-50.0,Nov_2020,30,4,0,10,7,0,1
2020-10-31,2020-11-03,PAYMENT,Payment,-161.26,Nov_2020,31,5,1,10,7,0,1
2020-11-03,2020-11-04,PAYMENT,Payment,-20.0,Nov_2020,3,1,0,11,7,0,1
2020-11-04,2020-11-06,PAYMENT,Payment,-100.0,Nov_2020,4,2,0,11,7,0,1
2020-11-06,2020-11-09,PAYMENT,Payment,-40.0,Nov_2020,6,4,0,11,7,0,1
